codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao
4,45602,PPGXE,241,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-C,PISTÃO,1,660,2,1962,BRASIL,PRI,INSTRUÇÃO,SDPW,SDPW,INDETERMINADA,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
40,53551,PPGSZ,160,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",56-C,PISTÃO,1,660,2,1960,BRASIL,PRI,INSTRUÇÃO,SBBP,SBBP,DECOLAGEM,INSTRUÇÃO,LEVE,NULL,2016-07-30
118,43721,PTCMT,1232,AVIÃO,"BEECH AIRCRAFT",95-B55,PISTÃO,2,2310,6,1966,BRASIL,TPX,"TÁXI AÉREO",****,****,"CORRIDA APÓS POUSO","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
130,35556,PTEQI,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-721C,PISTÃO,1,1633,6,1979,BRASIL,TPP,PARTICULAR,SNDU,SBSL,"CORRIDA APÓS POUSO",PRIVADA,LEVE,NULL,2016-07-30
191,32579,PPVMM,4365,AVIÃO,"BOEING COMPANY",737-241,JATO,2,52389,117,1975,BRASIL,TPR,REGULAR,****,****,SUBIDA,REGULAR,NENHUM,NULL,2016-07-30
206,38376,PTKDW,3992,AVIÃO,"CESSNA AIRCRAFT",182P,PISTÃO,1,1338,4,1974,BRASIL,TPP,PARTICULAR,SJCY,SIBX,"CORRIDA APÓS POUSO",PRIVADA,SUBSTANCIAL,NULL,2016-07-30
213,50332,PTNOE,3992,AVIÃO,"NEIVA INDUSTRIA AERONAUTICA",EMB-711C,PISTÃO,1,1202,4,1977,BRASIL,TPP,PARTICULAR,SSCT,SBMG,DECOLAGEM,PRIVADA,SUBSTANCIAL,NULL,2016-07-30
221,51531,PTIZV,283,AVIÃO,"PIPER AIRCRAFT",PA-28-140,PISTÃO,1,884,2,1973,BRASIL,PRI,INSTRUÇÃO,SBMT,SBMT,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,NULL,2016-07-30
248,35675,PTHML,4158,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1,1950,6,1983,BRASIL,ADE,"ADMINISTRAÇÃO DIRETA",SBFL,****,PAIRADO,POLICIAL,NENHUM,NULL,2016-07-30
248,48012,PTHML,2486,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1,1950,6,1983,BRASIL,M14,MÚLTIPLA,****,****,"APROXIMAÇÃO FINAL","TÁXI AÉREO",SUBSTANCIAL,NULL,2016-07-30
